	expression	promoter.meth	gene.meth
B130046B21Rik	5.4442444	1.1597939	58.1835
B130055M24Rik	1.2702152	5.77381	48.211987
B230104C08Rik	-4.16719	2.3958335	10.4234085
B230112J18Rik	-4.16719	0.6097561	35.645996
B230118H07Rik	4.527845	2.3809524	18.443062
B230119M05Rik	-4.16719	0.8090615	1.3888888
B230120H23Rik	3.779229	0.37453187	81.23527
B230206F22Rik	1.1140959	2.419355	3.8970017
B230206H07Rik	2.5697753	97.33334	12.656642
B230206L02Rik	-4.0151873	0	2.2284393
B230208H11Rik	-1.693259	0.78125	0.2347418
B230208H17Rik	6.3739066	1.0989012	72.79159
B230209K01Rik	-4.16719	4.6296296	4.114016
B230216G23Rik	-3.015187	1.234568	1.6237745
B230216N24Rik	0.07227574	4.347826	3.29758
B230217C12Rik	-4.0151873	3.1007755	4.8611116
B230217O12Rik	-3.015187	0.33783785	29.030884
B230219D22Rik	5.2469077	0.47197643	49.067093
B230307C23Rik	-4.0151873	0	45.998077
B230312A22Rik	2.0292072	0	54.197197
B230312C02Rik	-4.16719	0.48309183	7.3682084
B230314M03Rik	0.15473793	72.73243	80.5609
B230317F23Rik	-3.015187	3.0381947	18.906706
B230319C09Rik	-2.4302247	97	85.21333
B230323A14Rik	-4.16719	1.0416666	1.5479504
B230325K18Rik	-4.16719	98.412704	100
B230344G16Rik	-0.31474733	93.07692	26.55258
B230354K17Rik	5.3533196	0.26666668	47.988503
B230359F08Rik	-4.0151873	1.4285715	3.466667
B230364G03Rik	-3.015187	1.1494254	1.8685956
B230369F24Rik	0.15473793	1.5725048	40.416668
B230378P21Rik	-4.16719	91.2	91.5
B230398E01Rik	4.288594	71.26374	66.55303
B2m	1.2327404	0.617284	45.737793
B3galnt1	4.9848127	1.0791367	61.28677
B3galnt2	4.8705096	5.1282053	62.53039
B3galt1	1.1942663	5.882353	5.236887
B3galt2	-4.16719	98.03922	96.92884
B3galt4	3.6430244	70.77945	78.57407
B3galt5	-4.16719	2.6595745	5.96027
B3galt6	3.944815	1.5168539	23.224928
B3galtl	3.8489993	3.4042554	77.04181
B3gat1	-1.015187	1.0416667	78.25858
B3gat2	6.4246435	2.1367521	71.84075
B3gat3	5.050902	21.481482	57.123524
B3gnt1	3.1746378	0.9592327	0.60861427
B3gnt2	4.6178083	2.631579	38.93365
B3gnt3	-4.0151873	0	1.8915647
B3gnt4	2.8796308	28.333334	71.13506
B3gnt5	-0.20783208	1.4705882	12.139766
B3gnt6	-4.16719	0	1.199262
B3gnt7	2.394204	34.86842	68.33733
B3gnt8	-0.31474733	3.4444447	69.30232
B3gnt9-ps	3.018236	35.178574	31.16985
B3gntl1	5.037381	1.7267268	84.22482
B430010I23Rik	3.9563568	98.03278	96.80738
B430119L08Rik	-4.16719	23.511904	28.303572
B430203G13Rik	-4.16719	58.97436	33.201057
B430212C06Rik	-1.2078321	6.056911	22.149063
B430219N15Rik	1.5995227	37.735847	0.30581042
B430305J03Rik	1.9620928	68.39081	4.8187313
B430306N03Rik	4.4965653	73.27381	86.73303
B430319F04Rik	-3.015187	67	2.653509
B430319H21Rik	-4.16719	6.904762	7.0934963
B4galnt1	-4.16719	0.53763443	8.333334
B4galnt2	1.3771304	1.2	69.94072
B4galnt3	0.3067411	0.45197743	84.41956
B4galnt4	0.44424465	0.2808989	30.083803
B4galt1	1.817703	0.3703704	2.9683642
B4galt2	6.4846587	12.877358	43.37066
B4galt3	5.387825	0.5882353	68.75322
B4galt4	3.9096255	1.4035089	57.122467
B4galt5	4.692172	1.9666667	65.29335
B4galt6	3.792168	0.2173913	78.6265
B4galt7	5.293152	26.209677	73.13224
B530045E10Rik	-4.16719	96.875	98.64342
B630005N14Rik	4.8582573	2.4305556	71.07045
B630019A10Rik	-4.16719	5.376344	3.8566828
B630019K06Rik	2.2136316	1.3636364	0.66193855
B930007M17Rik	1.9848129	10.299625	53.83214
B930036N10Rik	1.2327404	0	0.84745765
B930041F14Rik	0.89170355	0.308642	6.356108
B930082K07Rik	1.508375	44.90741	25.045662
B930086A06Rik	-4.16719	3.6666667	1.5625
B930094E09Rik	0.7921679	16.153847	1.0560677
B930095G15Rik	1.842794	90.650406	94.975494
B9d1	4.8705096	3.1666667	66.55945
B9d2	1.8917036	0.54347825	73.66792
Baalc	-3.015187	0	2.9023883
Baat	-4.16719	0	2.1946874
Baat1	5.769448	1.0199006	78.900955
Bace1	5.3706756	1.100629	48.745953
Bace2	2.114096	1.7543861	78.792816
Bach1	4.6783	1.7391304	76.65904
Bach2	4.8765965	0.6993007	24.419529
Bad	4.5044494	12.191043	82.99777
Bag1	6.5995226	11.521739	60.60717
Bag2	0.842794	12.204434	2.0050948
Bag3	2.394204	0.8101852	2.2498434
Bag4	6.3291087	1.574074	59.787697
Bag5	5.425682	8.604793	41.5117
Bag6	8.875837	2.536232	69.145836
Bahcc1	7.5589333	0	6.3404365
Bahd1	7.725858	1.6393442	54.45696
Bai1	3.018236	1.1904762	40.995125
Bai2	3.0616286	1.4467593	3.1460037
Bai3	1.4766661	0.9185606	51.63008
Baiap2	5.772715	1.1160715	69.0043
Baiap2l1	6.232741	3.6745408	86.95986
Baiap2l2	-3.015187	94.28571	8.431236
Baiap3	3.8856797	8.958334	55.117554
Bak1	1.6572382	96.734695	91.25148
Bambi	1.154738	0.6666667	17.499094
Banf1	6.9876285	4.101222	28.968927
Banf2	-4.16719	3.2258065	4.2871265
Bank1	1.342365	1.5873017	64.75118
Banp	5.5044494	0	79.071686
Bap1	8.085147	2.4461029	68.77315
Bard1	4.749685	2.5537636	78.91763
Barhl1	-2.4302247	0	6.5277777
Barhl2	-4.16719	1.1731392	0.75845414
Barx1	2.0292072	0.64102566	1.10478
Barx2	2.0071807	0.4251701	25.103777
Basp1	1.0292072	2.2183099	20.174501
Batf	-2.015187	2.6041667	2.272109
Batf2	0.3067411	4.315018	17.170757
Batf3	-4.0151873	0.46296299	22.985119
Bax	6.619624	0.90090096	61.938354
Baz1a	6.290875	3.8709676	60.72104
Baz1b	8.0629635	1.1417323	79.01837
Baz2a	8.881903	2.3178809	50.393494
Baz2b	5.752997	0.62827224	70.38794
BB014433	-4.16719	2.2580645	3.6458333
BB031773	-4.0151873	5.952381	39.910957
BB114351	-2.4302247	96.474365	91.92151
BB218582	-4.16719	0.5	5.929487
BB287469	-4.16719	1.6666666	30.363718
BB557941	-4.16719	2.9850745	87.20274
Bbc3	0.7921679	0.21052632	3.7438078
Bbip1	4.722905	5.8292284	66.90429
Bbox1	-4.16719	6.6666665	4.920543
Bbs1	5.9360976	9.7260275	83.10613
Bbs10	3.1746378	4.166667	51.07274
Bbs12	2.9273274	0.35460997	50.961025
Bbs2	5.4068775	1.4583334	80.96969
Bbs4	5.752997	6.1111116	75.93537
Bbs5	2.5394018	1.3888888	79.99937
Bbs7	4.6214375	1.3157895	39.28999
Bbs9	5.744701	0.74626863	86.8962
Bbx	7.642578	1.1363636	31.718983
BC002059	-0.015187042	2.3148148	87.86354
BC002230	5.7380295	4.263566	86.83414
BC003266	4.2039814	0.95381534	47.034767
BC003331	5.8318706	10.0948105	80.52993
BC004004	6.8834143	1.8264842	68.46454
BC005537	8.398176	0.8064516	42.48282
BC005561	5.605033	0.26041666	35.38414
BC005624	3.2885938	2.1869488	58.024693
BC005764	2.792168	1.4855072	48.563114
BC006779	3.0071807	22.929293	20.210152
BC006965	-4.16719	2.3958335	5.0491195
BC007180	-4.16719	16.666668	2.4812734
BC013529	4.7792287	4.7619047	47.727856
BC013712	-1.4302245	93.023254	83.23348
BC016423	7.999182	4.930556	69.14958
BC016495	2.2515996	0.77235776	82.48529
BC016548	-4.16719	5.357143	5.1831503
BC016579	-4.16719	3.5539217	2.1375496
BC017158	5.4005547	1.5384616	75.997635
BC017612	3.3335412	53.99225	60.96941
BC017643	2.8551776	0.703125	57.75495
BC017647	5.905166	1.0416666	85.5017
BC018242	0.44424465	3.0952382	2.4305556
BC018473	-4.16719	96.68597	98.170364
BC018507	7.3609385	2.175926	79.85803
BC019943	5.0907216	0	58.691494
BC020535	-4.0151873	1.1074197	2.5223517
BC021614	-4.16719	7.0542636	4.927536
BC021767	-2.015187	77.72989	72.0441
BC021785	-3.015187	0.51282054	7.1447315
BC021891	-0.69325894	0.70460707	16.583426
BC022687	4.769448	1.2183781	66.70231
BC023105	-4.16719	19.444445	6.4957266
BC023719	-4.16719	1.5625	29.140497
BC023829	6.84745	3.388889	54.66182
BC024139	-4.16719	2.9411767	11.117765
BC024479	5.061629	2.8273811	63.13607
BC024582	1.342365	0	85.96516
BC024659	2.0071807	0	71.96163
BC024978	5.610522	28.52814	34.839615
BC025446	-4.16719	16.025642	21.064816
BC025920	0.5697754	1.7133957	40.812683
BC026585	2.792168	96.25	95.04003
BC026590	5.772715	3.767507	48.477016
BC027072	0.15473793	2.936508	1.4740778
BC027231	5.693897	25.542004	54.524693
BC027582	-4.0151873	6.7355895	30.580357
BC028471	-4.16719	63.157894	1.7498281
BC028528	-3.015187	19.086021	70.29006
BC028777	0.37713045	0.5903988	34.66879
BC029214	1.342365	0	35.140472
BC029722	3.0616286	80.827156	73.66765
BC030307	3.9036763	8.230941	67.698814
BC030336	3.9678066	1.564626	63.999294
BC030476	2.5239718	3.8043478	64.537766
BC030499	0.68525267	99.33333	96.49351
BC030500	-4.16719	0.7407407	0.8910534
BC030867	6.6651726	0.45662105	71.04595
BC030870	-2.015187	1.7241379	17.071558
BC031181	5.201559	9.201509	67.85333
BC031353	6.0933375	0.49019608	87.40744
BC031781	5.235111	0.46979865	65.86168
BC032203	5.5865836	92.996445	91.12185
BC033916	-4.16719	30.789474	23.235294
BC034090	3.6430244	98.93334	96.81222
BC034902	-4.16719	0.6944445	2.762763
BC035044	-4.16719	2.5641026	8.729529
BC035947	-4.16719	0	10.509619
BC037032	1.4442446	9.953052	2.2176309
BC037034	6.508375	27.377779	61.609444
BC039771	-4.16719	0.9157509	17.907755
BC039966	-4.16719	5.797102	9.827586
BC042782	1.4110777	0.8701473	25.898026
BC043934	-4.16719	8.473749	3.7414968
BC046251	-0.015187042	100	50.27144
BC046331	6.6695614	8.622351	88.88624
BC046401	-4.16719	98.958336	98.83333
BC046404	4.8826585	4.517134	51.639526
BC048355	-4.0151873	39.892563	69.52922
BC048403	4.7759757	0.68870527	52.898724
BC048502	-3.015187	0	20.541668
BC048507	1.306741	3.1547618	1.5350878
BC048546	-2.4302247	2.4509804	46.411465
BC048562	-4.16719	8.333333	47.58075
BC048594	-1.693259	13.549784	7.426373
BC048609	-1.693259	88.94445	69.13793
BC048644	-4.16719	0.8941345	2.618426
BC048671	-4.16719	12.121213	1.6891892
BC048679	-1.2078321	0	1.0244648
BC048943	-4.0151873	93.65741	98.55073
BC049352	-4.0151873	77.30769	42.98002
BC049635	-3.015187	6.9444447	1.4181439
BC049702	-4.16719	70.37038	75.35714
BC049715	-4.0151873	2.3536036	4.3408666
BC049730	1.0292072	3.75	2.6255708
BC049762	3.5546684	3.34843	4.3568234
BC050972	-4.16719	85.25642	94.333336
BC051019	2.2136316	0.87719303	61.649586
BC051070	-4.16719	18.75	41.283066
BC051076	-4.16719	34.649124	1.7676768
BC051077	-4.16719	3.2291667	0.6926407
BC051142	4.3856926	87.53708	90.205284
BC051226	1.9155504	3.137255	0.6666667
BC051628	-0.20783208	2.2727273	3.4027777
BC051665	-4.16719	85	90.67796
BC052040	4.827163	0.3125	80.05894
BC052486	-2.4302247	6.034483	1.8181819
BC053393	-4.16719	1.1904763	5.623184
BC053749	4.2794337	8.995098	81.273315
BC055004	-1.693259	12.5	15.6678915
BC055111	-4.16719	2.5641026	3.3679848
BC055324	6.801797	4.1620884	77.42857
BC056474	2.7397006	26.225073	16.592041
BC057022	5.6625323	0.5139501	83.613785
BC057079	7.5824	0	88.60855
BC060267	5.103754	10.130719	64.91542
BC061194	0.15473793	0.7068453	17.067678
BC061195	-4.16719	8.333333	12.5
BC061212	-4.16719	NA	0
BC061237	-4.16719	NA	62.25
BC064078	-4.16719	95.86466	65.42827
BC065397	4.610522	8.057971	84.23249
BC065403	2.9036763	54.119053	37.83345
BC066135	-3.015187	18.645834	25.199816
BC067068	3.6430244	8.302919	90.48789
BC067074	4.606865	28.255955	60.175457
BC068157	1.306741	3.395062	51.436127
BC068281	2.8917036	1.2345679	80.194374
BC080695	-4.16719	NA	8.333334
BC088983	3.8489993	0.5905512	69.54056
BC089491	-4.16719	12.531646	5.119248
BC089597	-4.16719	20	7.100457
BC094916	-4.16719	25.925926	20.962887
BC096441	2.394204	72.27273	55.235683
BC100451	-4.0151873	0	1.3095239
BC100530	-4.16719	0	1.6939893
BC106179	-4.16719	0.70028013	0.25641027
BC107364	-0.015187042	NA	3.3039184
BC125332	1.4110777	0	48.92113
Bcam	1.342365	4.7619047	8.273698
Bcan	-2.015187	0.34364265	1.2380953
Bcap29	4.7595997	3.0516434	72.79394
Bcap31	7.6852527	19.184782	86.63128
Bcar1	6.119239	0.66006607	67.66136
Bcar3	5.4846587	1.3565892	88.255745
Bcas1	-0.84526205	1.5151516	74.3203
Bcas2	6.526878	0	56.68709
Bcas3	7.814536	95.92983	84.37519
Bcat1	2.6990585	25.39394	68.39274
Bcat2	2.867456	1.3020834	10.228496
Bccip	4.33796	1.9896642	76.11645
Bcdin3d	3.018236	1.6216216	66.304924
Bche	-1.4302245	0	16.35688
Bckdha	6.073601	6.4814816	84.71189
Bckdhb	3.664293	1.5538847	79.69305
Bckdk	7.0023174	1.25	76.53045
Bcl10	1.3771304	0.18181819	64.281784
Bcl11a	-2.015187	1.3422819	3.322814
Bcl11b	-2.4302247	1.459854	3.0249245
Bcl2	3.082845	6.6058397	22.87682
Bcl2a1a	-4.16719	0	8.77193
Bcl2a1b	-4.16719	0.66666675	9.068627
Bcl2a1c	-4.16719	0.92592597	0
Bcl2a1d	-4.16719	0	8.045978
Bcl2l1	6.3257756	0.44444448	66.14249
Bcl2l10	1.4766661	11.458334	14.220779
Bcl2l11	1.4766661	44.835526	65.54529
Bcl2l12	2.6852527	22.38426	55.190804
Bcl2l13	6.0788903	4.9796743	83.62804
Bcl2l14	-4.16719	11.153846	2.288314
Bcl2l15	-0.10829648	5.263158	29.849056
Bcl2l2	2.2327404	6.730769	83.88691
Bcl3	-4.0151873	0.6637168	1.6533067
Bcl6	1.0292072	0	5.7599173
Bcl6b	-2.015187	2.9888551	5.3207
Bcl7a	7.1572404	9.0625	66.38504
Bcl7b	4.199132	6.747968	59.081722
Bcl7c	5.3728304	1.9480519	77.42492
Bcl9	8.152858	0	73.65197
Bcl9l	4.671314	1.8429488	51.7072
Bclaf1	6.965667	3.4768212	56.64143
Bcmo1	-3.015187	3.7209303	32.592545
Bco2	3.508375	91.111115	74.00056
Bcor	5.84745	1.8461539	9.067625
Bcorl1	6.59676	1.5151516	68.01501
Bcr	7.365274	1.8227065	82.43657
Bcs1l	5.5064135	22.136684	64.06277
Bdh1	-1.4302245	4.6153846	51.384163
Bdh2	-4.16719	0.6535948	2.8569121
Bdkrb1	-4.16719	2.1985817	2.6436784
Bdkrb2	-2.4302247	0.7246377	30.30504
Bdnf	-4.16719	0	1.3983884
Bdp1	5.7969904	1.4652016	86.880684
Bean1	-2.4302247	1.4925373	2.302831
Becn1	7.2070036	1.2433863	69.53591
Begain	4.5884395	3.0263157	6.6192627
Bend3	5.7840943	1	76.475845
Bend4	6.5103335	1.9470406	2.739018
Bend5	4.4806676	2.389706	81.17925
Bend6	0.44424465	0.97840756	64.429855
Bend7	3.7529972	10.074074	47.54404
Best1	-4.0151873	1.8518519	13.071807
Best2	-4.0151873	83.333336	3.3333335
Best3	-2.015187	100	90.12425
Bet1	4.07757	2.4390244	71.67045
Bet1l	4.2562757	5.3344345	60.0783
Bet3l	1.6572382	2.2727273	96.31596
Bex1	3.9036763	0	9.752628
Bex2	-0.31474733	3.9473684	4.6579747
Bex4	-0.5557554	0	4.285714
Bex6	-4.16719	1.5503877	0
Bfar	5.792168	2.7027028	76.535225
Bfsp1	4.0933375	1.8055557	2.4747937
Bfsp2	-2.015187	96.166664	83.014984
Bglap	-4.16719	77.38096	72.54902
Bglap2	-4.16719	35.454544	28.78788
Bglap-rs1	-0.31474733	13.888889	44.45378
Bgn	2.9390092	52.261906	58.990932
Bhlha15	-2.4302247	35.66234	53.089672
Bhlha9	-4.0151873	0	0.84033614
Bhlhb9	6.795385	2.893082	10.02584
Bhlhe22	-2.4302247	0.6849315	0.96153843
Bhlhe23	-4.16719	0.57347673	0.9074074
Bhlhe40	1.4110777	1.2380953	45.59693
Bhlhe41	5.746364	3.4383638	6.343494
Bhmt	-2.015187	6.3333335	58.71032
Bhmt2	-0.84526205	0.60240966	5.471015
Bhmt-ps1	-4.16719	9.090909	6.25
Bicc1	-0.10829648	1.4019687	27.545212
Bicd1	1.4766661	0	12.47347
Bicd2	6.668685	1.0069444	82.0589
Bid	5.0854754	0.18083183	17.024384
Bik	-4.16719	0.26881722	3.2374635
Bin1	0.842794	1.4466546	12.527763
Bin2	5.11667	4.166667	75.474686
Bin3	4.3598523	0.82417583	86.90575
Birc2	5.396324	26.178864	95.74526
Birc3	0.23274046	0.5405405	78.99626
Birc5	6.394204	1.2698413	12.3952055
Birc6	9.361482	0.15290521	88.16955
Birc7	-4.16719	0	6.255144
Bivm	4.0237317	0.6329114	63.895973
Blcap	5.2771344	47.66667	58.1235
Blk	-4.16719	1.2820513	2.8108284
Blm	6.137098	1.25	81.15327
Blmh	5.8781147	0	88.23299
Blnk	-4.16719	1.984127	3.4210224
Bloc1s1	3.5161943	44.285713	49.353302
Bloc1s2	1.342365	0	68.89098
Bloc1s3	2.817703	4.3963256	6.986532
Blvra	5.2064004	2.9215686	82.65387
Blvrb	-0.43022457	0.6289308	2.338868
Blzf1	5.533635	0.7662836	70.34003
Bmf	4.270215	11.684982	47.17272
Bmi1	4.2976956	2.3550725	31.742657
Bmp1	3.2136316	2.1892657	2.2449958
Bmp10	-4.16719	1.9379846	2.5170069
Bmp15	-0.31474733	3.9855075	46.704414
Bmp2	0.23274046	0.35211268	1.273585
Bmp2k	5.5239716	0.36764705	75.38562
Bmp3	-3.015187	1.4705882	1.1515874
Bmp4	-2.015187	0	0.47456342
Bmp5	-4.16719	1.5151516	52.896282
Bmp6	1.5394018	3.037383	80.21486
Bmp7	3.3157299	0.4557292	7.5476756
Bmp8a	-4.0151873	1.9248827	2.8867786
Bmp8b	1.7127334	0.35555556	30.832052
Bmper	2.1746376	1.029724	67.31198
Bmpr1a	7.0434813	5.630631	58.72488
Bmpr1b	1.4110777	1.6260164	86.05965
Bmpr2	5.474661	0.84388185	83.01168
Bms1	7.9763346	0.9722222	84.95208
Bmx	-4.0151873	6.998893	29.826607
Bmyc	0.93900925	2.5510204	0.6796116
Bnc1	6.573528	1.1648746	68.8907
Bnc2	6.394204	0.47393364	79.34709
Bnip1	4.5317073	0	80.49479
Bnip2	4.6990585	0.308642	65.70437
Bnip3	3.8551776	1.1524823	57.36901
Bnip3l	5.906654	2.6363637	50.407894
Bnipl	-4.0151873	86.349205	95.09903
Boc	2.9036763	0	2.3186018
Bod1	4.4846587	2.9824562	30.490196
Bod1l	7.125004	0.5	85.21557
Bok	-0.69325894	13.779512	44.414223
Bola1	3.7529972	20.238094	4.666667
Bola2	5.157241	15.363249	3.5698926
Bola3	1.6286691	35.68376	53.068962
Boll	3.72628	1.2323943	16.620255
Bop1	6.7447014	4.0895953	82.294205
Bpgm	6.2999625	2.741228	71.68754
Bphl	1.1942663	0.2347418	45.900764
Bpi	-0.31474733	0	1.9430486
Bpifa1	-4.16719	1.6666666	5.7731957
Bpifa2e	-4.16719	0	4.035088
Bpifa3	-4.16719	3.5087721	6.7628665
Bpifa5	-4.16719	1.7543861	12.120061
Bpifa6	-4.16719	6.439394	41.895058
Bpifb1	-4.16719	3.1560285	6.0552053
Bpifb2	-4.16719	20.902779	8.708883
Bpifb3	-4.0151873	7.5203257	6.6314735
Bpifb4	-2.4302247	7.0833335	7.077826
Bpifb5	-4.16719	6.4242425	16.329325
Bpifb6	-4.16719	8.802309	6.828309
Bpifb9a	-4.16719	98.21429	95.97518
Bpifb9b	-4.16719	100	97.217125
Bpifc	-4.0151873	0	63.31887
Bpnt1	5.6678076	0	85.13826
Bptf	8.50002	4.2105265	80.86613
Braf	6.203982	0	80.24868
Brap	6.8984504	6.568628	71.40861
Brca1	7.1018066	2.2266667	79.39074
Brca2	8.3695965	1.6941392	84.5243
Brcc3	2.8917036	2.0033672	71.62799
Brd1	6.7296467	3.7356322	74.28039
Brd2	9.973675	9.440205	18.56011
Brd3	7.145315	67.27273	51.542164
Brd4	7.886057	9.20699	76.15865
Brd7	7.213632	1.0510511	63.415882
Brd8	6.3598523	12.949466	67.78185
Brd9	5.7042017	7.108168	85.11121
Brdt	6.13456	2.5641026	90.10663
Bre	4.830303	14.135022	67.21778
Brf1	5.9749165	3.4133334	74.21633
Brf2	5.164722	1.5384616	48.98629
Bri3	5.037381	35.166668	57.002625
Bri3bp	3.5317075	0	1.7783556
Brip1	4.9988337	2.3148148	89.79833
Brix1	6.1063466	5.585242	52.225227
Brms1	5.458519	1.054131	72.77191
Brms1l	3.4110777	1.388889	74.314156
Brp44	4.4686284	0	56.803387
Brp44l	2.2885938	6.4814816	46.369205
Brpf1	6.595838	0.3853565	65.84688
Brpf3	6.5556173	2.1582735	79.87414
Brs3	-4.16719	8.611112	3.6428573
Brsk1	1.306741	4.710145	5.818214
Brsk2	4.342365	5.8261185	64.874275
Brwd1	7.1967015	0.88383836	79.79339
Brwd3	3.4442446	3.974359	79.856094
Bscl2	4.2516	45.456623	55.712173
Bsdc1	6.8412385	1.8181819	88.395065
Bsg	8.106023	0.89605737	64.75202
Bsn	2.0292072	3.5380118	26.894117
Bsnd	-1.2078321	1.5873016	1.9727266
Bsph1	-4.16719	4.5833335	52.669373
Bspry	4.13456	0	62.08638
Bst1	-4.16719	5	16.89796
Bst2	0.62866914	0.65789473	25.622711
Bsx	-4.16719	2.3188405	2.277778
Btaf1	8.102456	0.46296296	73.502594
Btbd1	2.1746376	1.5625	56.414642
Btbd10	5.3511353	1.147343	79.53545
Btbd11	1.306741	1.0173161	9.7392
Btbd16	0.7397005	26.342594	11.776538
Btbd17	-4.0151873	76.568634	17.728687
Btbd19	1.2702152	0	2.1746032
Btbd2	7.5907555	1.712963	75.26316
Btbd3	3.8917036	1.8817205	21.8559
Btbd6	3.270215	100	97.854614
Btbd7	6.140896	0.4950495	74.169716
Btbd8	2.2702153	1.3843887	68.928894
Btbd9	6.5103335	0.6038647	87.34332
Btc	-4.16719	2.9914532	6.1617885
Btd	2.342365	7.6923075	40.866924
Btf3	5.0346613	5.7333336	39.37824
Btf3l4	3.9563568	0.47961634	49.27725
Btg1	4.6852527	1.1299436	40.953358
Btg2	3.6141696	1.1666667	1.9188598
Btg3	-1.693259	3.1862745	46.39654
Btg4	0.3067411	0	34.343037
Btk	1.0292072	3.3333333	62.303066
Btla	-1.015187	0	13.341836
Btn1a1	2.342365	0.65789473	0.6169872
Btn2a2	-0.015187042	92.391304	97.81747
Btn3a3	-4.0151873	1.5151516	2.2705314
Btnl2	-4.16719	57.72894	30.186432
Btnl3	-4.0151873	85.416664	94.85185
Btnl5	-4.16719	3.4722223	5.4119854
Btnl6	-4.16719	8.620689	3.3166668
Btnl7	-1.015187	23.47826	21.301865
Btnl9	-4.0151873	0.88235295	1.874267
Btrc	7.276559	0.1831502	91.80743
Bub1	7.076909	2.0430107	64.20915
Bub1b	6.105051	0	83.3232
Bub3	5.333541	2.2727273	60.857227
Bud13	5.0209866	19.357431	81.38056
Bud31	6.4287925	7.586207	69.89776
Butr1	-4.16719	1.097561	3.4171598
Bves	-3.015187	0	1.5977645
BY080835	2.4277565	93.80953	65.47381
Bysl	5.533635	21.18076	76.253136
Bzrap1	0.62866914	2.777778	4.7049866
Bzw1	6.6878514	9.074074	40.562702
Bzw2	1.9155504	0.16778524	13.872203
C030005K06Rik	1.4442446	98.71795	97.55367
C030005K15Rik	-4.16719	37.5	22.5
C030006K11Rik	2.9505973	63.604168	1.6666667
C030010L15Rik	-4.0151873	6.0119047	0
C030013C21Rik	-1.4302245	0.8196721	29.272728
C030013D06Rik	-1.693259	100	100
C030014I23Rik	-1.2078321	0.3030303	0.8512545
C030017D09Rik	-2.4302247	4.666667	1.7495855
C030017K20Rik	0.3067411	0.53763443	2.7655125
C030019I05Rik	-2.4302247	96.38298	94.05459
C030030A07Rik	-0.69325894	8.333333	3.9558234
C030034I22Rik	-1.015187	0.4985755	5.0300303
C030034L19Rik	5.0722756	3.9215689	15.802598
C030037D09Rik	1.842794	1.2571429	1.199262
C030037F17Rik	-4.16719	94.64286	72.6773
C030039L03Rik	2.4277565	25.143679	51.243645
C030044B11Rik	1.9390093	9.767858	16.314224
C030046E11Rik	6.6981993	13.406709	74.86979
C030046I01Rik	5.8705096	0.875	67.61084
C030047K22Rik	-4.16719	0	14.266653
C030048B08Rik	3.6713135	8.368794	54.537037
C030048H21Rik	-1.4302245	4.305556	0
C130021I20Rik	1.0292072	0.140647	2.1024904
C130022K22Rik	3.921451	0.84745765	74.20992
C130026I21Rik	-0.015187042	30.063375	64.923676
C130026L21Rik	-4.16719	17.475435	90.23428
C130036L24Rik	1.7661728	5.5100574	6.3697634
C130039O16Rik	3.539402	0.32786885	16.588545
C130040N14Rik	-3.015187	52.885574	2.8625953
C130046K22Rik	0.68525267	10.714286	16.226027
C130050O18Rik	-1.693259	100	96.456436
C130060C02Rik	-1.4302245	11.35965	71.001884
C130060K24Rik	-0.84526205	11.250001	65.74909
C130071C03Rik	-4.16719	3.1578948	1.0652282
C130073F10Rik	-4.16719	94.40476	79.53552
C130074G19Rik	1.9848129	2.5757577	1.6074718
C130079G13Rik	-4.16719	30	10.2150545
C130080G10Rik	-4.16719	3.4444444	0.72222227
C1d	3.9273274	1.1574074	55.12461
C1galt1	4.1795697	1.4268585	53.052704
C1galt1c1	2.2702153	0	53.292187
C1qa	-0.015187042	4.0404043	3.022876
C1qb	0.44424465	0.625	58.765434
C1qbp	6.190606	11.938775	55.50553
C1qc	0.37713045	3.7037036	3.9210527
C1ql1	3.9791663	3.2282283	17.553123
C1ql2	-4.16719	1.0548524	2.5153751
C1ql3	-4.16719	1.1627907	16.32664
C1ql4	-4.16719	0	34.480164
C1qtnf1	-1.693259	4.1666665	3.318804
C1qtnf2	-4.0151873	1.8115944	1.444603
C1qtnf3	-4.16719	2.666667	9.645453
C1qtnf4	1.7661728	1.25	4.491228
C1qtnf5	3.154738	96.938774	93.58793
C1qtnf6	1.5995227	0.7619047	2.4539878
C1qtnf7	-0.31474733	0	10.55272
C1qtnf9	-4.16719	3.2986114	4.2371035
C1ra	-3.015187	4.1666665	1.4115646
C1rb	-4.16719	3.5714285	8.793107
C1rl	-3.015187	87.95788	49.081272
C1s	-4.16719	3.8	24.101704
C2	2.830303	4.3885603	61.510345
C230004F18Rik	-4.16719	2.631579	8.553113
C230012O17Rik	-4.0151873	90.434784	54.113358
C230014O12Rik	-1.2078321	6.9444447	15.635265
C230021G24Rik	-4.16719	0.89285713	1.1538461
C230029F24Rik	-4.16719	2.7777777	39.47967
C230030N03Rik	-2.4302247	3.7192984	3.7948449
C230034O21Rik	-4.0151873	0.70921993	7.095762
C230035I16Rik	-4.16719	0.6849316	0.34722224
C230036H16Rik	1.842794	0.5420055	78.292694
C230037L18Rik	-4.16719	0.89285713	2.4029984
C230038L03Rik	1.154738	7.0776258	12.014925
C230052I12Rik	4.8582573	44.56953	56.47619
C230062I16Rik	-1.2078321	1.8518518	1.1363636
C230066G23Rik	-4.16719	1.5079365	0.8064516
C230081A13Rik	5.757952	0.984252	86.781166
C230091D08Rik	-4.16719	83.333336	100
